,Date/Time,Lat,Lon,Base,date,month,week,MonthDayNum,HourOfDay,DayOfWeekNum,DayOfWeek,Time,labels,labels_DBSCAN
342283,2014-06-13 00:54:00,40.7706,-73.9565,B02617,2014-06-13,6,24,13,0,5,Friday,Friday-0,2,0
386072,2014-06-20 00:59:00,40.7214,-73.9935,B02617,2014-06-20,6,25,20,0,5,Friday,Friday-0,5,0
656285,2014-06-06 00:12:00,40.7234,-74.0082,B02764,2014-06-06,6,23,6,0,5,Friday,Friday-0,5,0
589120,2014-06-20 01:44:00,40.7364,-73.9909,B02682,2014-06-20,6,25,20,1,5,Friday,Friday-1,5,0
589102,2014-06-20 01:25:00,40.7576,-73.9847,B02682,2014-06-20,6,25,20,1,5,Friday,Friday-1,2,0
543022,2014-06-13 01:19:00,40.742,-74.0056,B02682,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
193298,2014-06-20 01:20:00,40.7131,-73.9413,B02598,2014-06-20,6,25,20,1,5,Friday,Friday-1,1,0
74510,2014-06-06 01:50:00,40.7143,-74.015,B02598,2014-06-06,6,23,6,1,5,Friday,Friday-1,5,0
300863,2014-06-06 01:15:00,40.7218,-73.9568,B02617,2014-06-06,6,23,6,1,5,Friday,Friday-1,1,0
386157,2014-06-20 01:56:00,40.7414,-74.0086,B02617,2014-06-20,6,25,20,1,5,Friday,Friday-1,5,0
543024,2014-06-13 01:20:00,40.7134,-73.8716,B02682,2014-06-13,6,24,13,1,5,Friday,Friday-1,0,0
386110,2014-06-20 01:18:00,40.7461,-73.9904,B02617,2014-06-20,6,25,20,1,5,Friday,Friday-1,5,0
493229,2014-06-06 01:11:00,40.7445,-73.9906,B02682,2014-06-06,6,23,6,1,5,Friday,Friday-1,5,0
342296,2014-06-13 01:02:00,40.7031,-73.9855,B02617,2014-06-13,6,24,13,1,5,Friday,Friday-1,1,0
589100,2014-06-20 01:24:00,40.7541,-73.9701,B02682,2014-06-20,6,25,20,1,5,Friday,Friday-1,2,0
247374,2014-06-27 01:24:00,40.7461,-73.9978,B02598,2014-06-27,6,26,27,1,5,Friday,Friday-1,5,0
493273,2014-06-06 01:49:00,40.7162,-74.0132,B02682,2014-06-06,6,23,6,1,5,Friday,Friday-1,5,0
300849,2014-06-06 01:06:00,40.6653,-73.9836,B02617,2014-06-06,6,23,6,1,5,Friday,Friday-1,1,0
386105,2014-06-20 01:14:00,40.7054,-73.9333,B02617,2014-06-20,6,25,20,1,5,Friday,Friday-1,1,0
300869,2014-06-06 01:22:00,40.7401,-74.0053,B02617,2014-06-06,6,23,6,1,5,Friday,Friday-1,5,0
342300,2014-06-13 01:04:00,40.7073,-74.0028,B02617,2014-06-13,6,24,13,1,5,Friday,Friday-1,5,0
135621,2014-06-13 01:16:00,40.7197,-73.9556,B02598,2014-06-13,6,24,13,1,5,Friday,Friday-1,1,0
193288,2014-06-20 01:15:00,40.7992,-73.9703,B02598,2014-06-20,6,25,20,1,5,Friday,Friday-1,2,0
74488,2014-06-06 01:35:00,40.7396,-74.0054,B02598,2014-06-06,6,23,6,1,5,Friday,Friday-1,5,0
386122,2014-06-20 01:26:00,40.6991,-73.996,B02617,2014-06-20,6,25,20,1,5,Friday,Friday-1,5,0
386161,2014-06-20 01:59:00,40.7622,-73.9718,B02617,2014-06-20,6,25,20,1,5,Friday,Friday-1,2,0
433870,2014-06-27 01:37:00,40.7224,-73.9575,B02617,2014-06-27,6,26,27,1,5,Friday,Friday-1,1,0
493278,2014-06-06 01:53:00,40.7602,-73.9875,B02682,2014-06-06,6,23,6,1,5,Friday,Friday-1,2,0
589109,2014-06-20 01:36:00,40.7587,-73.9873,B02682,2014-06-20,6,25,20,1,5,Friday,Friday-1,2,0
